id,name,s2006e2020bao,s2006e2020bah,s2006e2020bal
0050,元大台灣50,8.5,8.0,8.9
0051,元大中型100,5.7,5.1,6.3
0052,富邦科技,10.1,9.6,10.8
0053,元大電子,7.6,7.0,8.5
0054,元大台商50,3.8,3.1,4.6
0055,元大MSCI金融,3.5,2.9,4.4
0056,元大高股息,5.3,4.9,5.9
0057,富邦摩台,7.5,6.9,8.2
0058,富邦發達,4.4,3.8,5.0
0059,富邦金融,4.6,3.9,5.6
0061,元大寶滬深,2.3,1.7,3.0
006201,元大富櫃50,2.7,1.9,3.5
006203,元大MSCI台灣,9.0,8.5,9.4
006204,永豐臺灣加權,9.4,9.0,9.7
006205,富邦上証,5.7,5.1,6.2
006206,元大上證50,7.0,6.4,7.6
006207,FH滬深,7.9,7.2,8.4
006208,富邦台50,12.4,11.8,12.7
00625K,富邦上証+R,8.9,8.2,9.3
00631L,元大台灣50正2,23.1,21.9,24.1
00632R,元大台灣50反1,-12.8,-13.3,-11.8
00633L,富邦上証正2,9.2,7.8,11.3
00634R,富邦上証反1,-14.5,-15.2,-13.0
00635U,元大S&P黃金,4.4,3.8,4.7
00636,國泰中國A50,5.7,4.8,6.6
00636K,國泰中國A50+U,10.0,9.0,10.8
00637L,元大滬深300正2,6.9,5.0,9.5
00638R,元大滬深300反1,-13.4,-14.1,81.1
00639,富邦深100,2.9,1.7,4.4
00640L,富邦日本正2,4.0,3.2,5.8
00641R,富邦日本反1,-7.9,-8.5,-7.2
00642U,元大S&P石油,-13.0,-13.6,-11.2
00643,群益深証中小,0.8,-0.2,1.8
00643K,群益深証中小+R,5.1,4.4,5.8
00645,富邦日本,2.8,2.3,3.5
00646,元大S&P500,8.0,7.5,8.4
00647L,元大S&P500正2,15.8,15.0,16.8
00648R,元大S&P500反1,-12.5,-13.0,-11.5
00649,FH香港,8.5,7.6,8.7
00650L,FH香港正2,11.6,10.4,12.3
00651R,FH香港反1,-11.2,-11.9,-10.1
00652,富邦印度,3.8,3.2,4.5
00653L,富邦印度正2,9.9,9.0,11.2
00654R,富邦印度反1,-11.2,-11.8,-10.3
00655L,國泰中國A50正2,20.1,18.5,21.3
00656R,國泰中國A50反1,-16.6,-17.1,-15.0
00657,國泰日經225,10.3,9.6,10.9
00657K,國泰日經225+U,8.5,7.8,9.2
00658L,國泰日本正2,11.1,10.2,11.8
00659R,國泰日本反1,-9.1,-9.4,-8.1
00660,元大歐洲50,6.0,5.5,6.6
00661,元大日經225,10.2,9.6,10.8
00662,富邦NASDAQ,17.3,16.4,17.6
00663L,國泰臺灣加權正2,30.3,29.0,31.1
00664R,國泰臺灣加權反1,-15.7,-16.2,-14.5
00665L,富邦琤肭磪囓2,2.9,1.9,3.9
00666R,富邦琤肭磪齯1,-8.7,-9.4,-7.8
00668,國泰美國道瓊,8.3,7.7,8.8
00668K,國泰美國道瓊+U,7.4,6.8,8.1
00669R,國泰美國道瓊反1,-12.9,-13.5,-11.9
00670L,富邦NASDAQ正2,40.1,38.1,41.2
00671R,富邦NASDAQ反1,-23.1,-23.5,-21.2
00672L,元大S&P原油正2,-48.0,-48.6,-36.5
00673R,元大S&P原油反1,5.3,3.6,6.4
00674R,元大S&P黃金反1,-8.5,-8.7,-7.7
00675L,富邦臺灣加權正2,27.0,25.8,28.0
00676R,富邦臺灣加權反1,-14.6,-15.0,-13.5
00677U,富邦VIX,-21.9,-26.1,-17.8
00678,群益NBI生技,8.6,7.8,9.0
00679B,元大美債20年,3.2,2.6,3.4
00680L,元大美債20正2,9.3,8.2,9.8
00681R,元大美債20反1,-10.1,-10.3,-9.3
00682U,元大美元指數,-2.4,-2.7,-2.1
00683L,元大美元指數正2,-4.6,-5.1,-4.0
00684R,元大美元指數反1,-0.6,-0.8,-0.2
00685L,群益臺灣加權正2,30.8,29.2,32.1
00686R,群益臺灣加權反1,-16.4,-16.9,-15.1
00687B,國泰20年美債,4.0,3.4,4.2
00688L,國泰20年美債正2,8.8,7.8,9.3
00689R,國泰20年美債反1,-9.2,-9.4,-8.5
00690,兆豐藍籌30,13.0,12.3,13.6
00691R,兆豐藍籌30反一,-14.2,-14.6,-13.1
00692,富邦公司治理,15.1,14.3,15.7
00693U,街口S&P黃豆,0.8,0.1,1.6
00694B,富邦美債1-3年,-1.3,-1.5,-1.2
00695B,富邦美債7-10年,-0.5,-0.7,-0.3
00696B,富邦美債20年,4.2,3.6,4.4
00697B,元大美債7-10,0.9,0.6,1.0
00700,富邦恆生國企,-0.8,-1.2,-0.2
00701,國泰股利精選30,4.7,4.3,5.2
00702,國泰標普低波高息,-1.7,-1.9,-0.9
00703,台新MSCI中國,6.1,5.2,6.8
00706L,元大S&P日圓正2,-2.0,-2.3,-1.6
00707R,元大S&P日圓反1,-1.7,-1.9,-1.1
00708L,元大S&P黃金正2,10.6,9.5,11.4
00709,富邦歐洲,2.4,2.0,3.3
00710B,FH彭博高收益債,1.6,1.4,1.9
00711B,FH彭博新興債,5.2,4.9,5.6
00712,FH富時不動產,-5.8,-6.1,-3.9
00713,元大台灣高息低波,7.9,7.4,8.4
00714,群益道瓊美國地產,0.1,-0.3,1.0
00715L,街口S&P布蘭特油正2,-30.7,-31.7,-24.8
00716R,華頓S&P布蘭特反1,-6.1,-6.4,-4.6
00717,富邦美國特別股,-1.1,-1.3,-0.4
00718B,富邦中國政策債,-0.5,-0.8,-0.3
00719B,元大美債1-3,0.4,0.1,0.5
00720B,元大投資級公司債,5.3,4.8,6.0
00721B,元大中國債3-5,-0.2,-0.3,0.1
00722B,群益15年IG電信債,5.1,4.7,5.5
00723B,群益15年IG科技債,3.5,3.1,3.9
00724B,群益10年IG金融債,2.9,2.5,3.4
00725B,國泰投資級公司債,4.5,4.0,5.1
00726B,國泰5Y+新興債,3.5,3.1,3.9
00727B,國泰1-5Y高收債,-1.6,-1.8,-1.1
00728,第一金工業30,13.0,12.2,14.1
00730,富邦臺灣優質高息,2.4,2.1,3.4
00731,FH富時高息低波,3.9,3.6,4.7
00732,國泰RMB短期報酬,-0.7,-0.8,-0.6
00733,富邦臺灣中小,14.3,13.1,15.8
00734B,台新JPM新興債,1.5,1.2,2.5
00735,國泰臺韓科技,18.1,16.9,19.3
00736,國泰新興市場,5.6,5.3,6.6
00737,國泰AI+ROBO,15.8,14.4,17.1
00738U,元大道瓊白銀,12.1,10.9,13.6
00739,元大MSCI,14.3,13.2,15.0
00740B,富邦全球投等債,7.6,7.1,8.1
00741B,富邦全球高收債,-1.8,-1.9,-1.2
00742,新光內需收益,6.0,5.5,6.5
00743,國泰中國A150,13.9,12.8,14.5
00744B,國泰中國政金債5+,1.1,0.9,1.2
00745B,富邦中政債0-1,0.3,0.2,0.4
00746B,富邦A級公司債,5.6,5.1,6.1
00747B,FH中國政策債,0.4,0.2,0.6
00748B,凱基中國債3-10,1.1,0.9,1.2
00749B,凱基新興債10+,5.5,5.0,6.1
00750B,凱基科技債10+,6.2,5.6,6.6
00751B,元大AAA至A公司債,6.1,5.5,6.6
00752,中信中國50,13.5,12.6,14.0
00753L,中信中國50正2,23.4,21.7,24.7
00754B,群益AAA-AA公司債,7.0,6.4,7.3
00755B,群益15年IG公用債,5.3,4.8,5.7
00756B,群益15年EM主權債,6.2,5.7,6.7
00757,統一FANG+,33.6,31.9,34.6
00758B,FH能源債,1.6,1.2,2.4
00759B,FH製藥債,7.1,6.5,7.3
00760B,FH新興企業債,4.3,3.9,4.9
00761B,國泰A級公司債,7.3,6.7,7.6
00762,元大全球AI,33.5,31.8,34.6
00763U,街口道瓊銅,6.2,5.6,7.1
00764B,群益25年美債,5.7,4.9,5.7
00765B,群益中國政金債,-0.5,-0.6,-0.4
00766L,台新MSCI中國正2,10.5,9.6,12.9
00767,FH美國金融股,-7.4,-8.0,-5.8
00768B,FH20年美債,11.7,10.5,11.7
00769B,FH中國信用債,0.3,0.1,0.4
00770,國泰北美科技,28.8,27.4,29.8
00771,元大US高息特別股,0.3,0.1,2.0
00772B,中信高評級公司債,8.5,7.7,9.1
00773B,中信優先金融債,8.9,8.1,9.7
00774B,新光中國政金綠債,-0.2,-0.4,0.0
00774C,新光中政金綠債+R,9.1,8.9,9.5
00775B,新光投等債15+,7.8,7.1,8.5
00776,新光ICE美國權值,2.6,2.1,3.6
00777B,凱基AAA至A公司債,7.6,6.7,8.1
00778B,凱基金融債20+,8.7,7.9,9.5
00779B,凱基美債25+,8.5,7.2,8.5
00780B,國泰A級金融債,2.8,2.3,3.1
00781B,國泰A級科技債,8.0,7.1,8.4
00782B,國泰A級公用債,6.5,5.6,6.9
00783,富邦中証500,4.8,4.0,5.7
00784B,富邦中國投等債,-1.9,-2.1,-1.7
00785B,富邦金融投等債,7.1,6.5,7.9
00786B,元大10年IG銀行債,5.7,5.1,6.7
00787B,元大10年IG醫療債,6.9,6.1,7.3
00788B,元大10年IG電能債,5.6,4.9,6.2
00789B,FH公司債A3,7.8,7.0,8.4
00790B,FH次順位IG金融債,5.5,4.9,6.1
00791B,FH美元信用債1-5Y,-2.5,-2.7,-2.3
00792B,群益A級公司債,6.5,5.7,7.1
00793B,群益AAA-A醫療債,6.0,5.2,6.3
00794B,群益7+中國政金債,-1.2,-1.3,-1.0
00795B,中信美國公債20年,6.1,4.9,6.1
00796B,中信中國債7-10,-0.9,-1.1,-0.8
00797B,中信中國美元IG債,1.7,1.2,1.8
00798B,國泰中企A級債7+,3.4,2.8,3.5
00799B,國泰A級醫療債,5.4,4.6,5.7
008201,BP上證50,3.2,2.5,4.7
00830,國泰費城半導體,28.4,27.0,30.5
00831B,新光美債1-3,-4.0,-4.2,-3.7
00832B,新光美債20+,7.1,5.9,7.1
00833B,第一金美債20+,4.7,3.7,4.7
00834B,第一金金融債10+,6.8,6.2,7.5
00835B,第一金科技債10+,6.3,5.6,6.8
00836B,永豐10年A公司債,3.5,2.8,4.1
00837B,永豐15年金融債,-3.0,-3.8,-2.1
00838B,永豐7-10年中國債,-2.0,-2.1,-1.8
00839B,凱基醫療保健債,4.8,4.2,5.3
00840B,凱基IG精選15+,3.3,2.8,3.9
00841B,凱基AAA-AA公司債,3.7,3.1,4.3
00842B,台新美元銀行債,3.8,3.3,4.7
00843B,台新中國政策債,-1.2,-1.3,-0.9
00844B,新光15年IG金融債,3.2,2.6,3.9
00845B,富邦新興投等債,-1.2,-1.4,-0.5
00846B,富邦歐洲銀行債,-0.8,-1.0,-0.2
00847B,中信美國市政債,-3.5,-4.1,-3.2
00848B,中信新興亞洲債,-0.7,-1.0,-0.3
00849B,中信EM主權債0-5,-3.5,-3.6,-3.3
00850,元大臺灣ESG永續,22.4,21.3,23.5
00851,台新全球AI,18.4,17.4,19.5
00852L,國泰美國道瓊正2,3.2,2.6,7.5
00853B,統一美債10年Aa-A,-1.8,-2.2,-1.1
00854B,富邦全球保險債,2.6,2.2,3.2
00855B,富邦全球能源債,-1.6,-1.8,-0.6
00856B,永豐1-3年美公債,-3.9,-4.2,-3.7
00857B,永豐20年美公債,0.2,-0.6,0.4
00858,永豐美國500大,10.9,10.4,12.1
00859B,群益0-1年美債,-4.6,-4.6,-4.3
00860B,群益1-5年IG債,-2.5,-2.6,-2.3
00861,元大全球未來通訊,11.4,10.6,12.6
00862B,中信投資級公司債,1.8,1.4,2.5
00863B,中信全球電信債,1.5,1.2,3.6
00864B,中信美國公債0-1,-3.8,-3.9,-3.6
00865B,國泰US短期公債,-3.9,-4.0,-3.7
00866,新光SHILLER,4.8,4.5,6.1
00867B,新光A-BBB電信債,1.9,1.5,2.4
00868B,FT1-3年美公債,-2.3,-2.4,-2.2
00869B,FT10-25年公司債,1.5,1.2,2.2
00870B,元大15年EM主權債,4.5,3.8,5.9
00871B,元大中國政金債,-0.7,-0.8,-0.4
00872B,凱基美債1-3,-4.9,-5.1,-4.6
00873B,凱基新興債1-5,-5.1,-5.2,-4.7
00874B,凱基BBB公司債15+,0.8,0.4,2.5
00875,國泰網路資安,51.7,48.7,51.9
00876,元大未來關鍵科技,28.2,26.6,28.2
00877,FH中國5G,-10.0,-10.1,-9.3
00878,國泰永續高股息,5.7,5.4,6.1
00879B,第一金美債0-1,-5.0,-5.0,-4.6
00880B,第一金電信債15+,-1.6,-1.7,-1.4
00881,國泰台灣5G+,-0.3,-0.4,-0.1
00882,,,,
00883B,,,,
00884B,,,,
1101,台泥,9.3,8.8,9.9
1102,亞泥,10.9,10.5,11.3
1103,嘉泥,5.0,4.4,5.8
1104,環泥,9.0,8.4,9.3
1108,幸福,5.9,5.2,6.5
1109,信大,7.7,7.2,8.1
1110,東泥,6.3,5.8,6.8
1111,,,,
1115,,,,
1201,味全,5.0,4.5,5.5
1203,味王,10.5,10.0,10.9
1210,大成,17.5,17.1,17.8
1213,大飲,-0.3,-1.1,0.5
1215,卜蜂,22.8,22.3,23.2
1216,統一,14.8,14.4,15.0
1217,愛之味,2.1,1.4,2.8
1218,泰山,10.8,10.2,11.4
1219,福壽,10.9,10.3,11.2
1220,台榮,6.1,5.4,6.5
1225,福懋油,14.8,14.1,15.2
1227,佳格,18.9,18.3,19.0
1229,聯華,15.8,15.2,16.2
1231,聯華食,15.9,15.3,16.3
1232,大統益,19.2,18.8,19.4
1233,天仁,5.9,5.5,6.1
1234,黑松,10.3,9.6,10.6
1235,興泰,8.5,8.0,8.8
1236,宏亞,3.2,2.7,3.7
1237,,,,
1240,茂生農經,5.8,4.3,7.7
1242,,,,
1246,,,,
1256,鮮活果汁-KY,22.4,21.2,23.0
1258,其祥-KY,-4.9,-5.5,-3.3
1259,安心,-2.1,-2.6,-1.2
1260,,,,
1262,綠悅-KY,-14.7,-15.5,-11.3
1264,德麥,7.9,7.3,8.5
1267,,,,
1268,漢來美食,-1.1,-1.4,0.1
1269,,,,
1271,,,,
1293,,,,
1301,台塑,8.4,8.0,8.8
1303,南亞,6.8,6.4,7.3
1304,台聚,10.6,10.0,11.1
1305,華夏,10.2,9.4,11.3
1307,三芳,6.5,6.0,6.9
1308,亞聚,10.1,9.7,10.7
1309,台達化,12.6,11.7,13.5
1310,台苯,5.4,4.4,6.5
1312,國喬,8.4,7.5,9.4
1313,聯成,8.0,7.3,8.8
1314,中石化,4.9,4.1,5.6
1315,達新,15.3,14.8,15.7
1316,上曜,9.1,8.3,9.7
1319,東陽,3.9,2.8,5.2
1321,大洋,7.0,6.3,7.5
1323,永裕,12.8,12.1,13.1
1324,地球,3.7,3.1,4.3
1325,恆大,15.9,15.1,16.5
1326,台化,7.3,6.9,7.8
1328,,,,
1333,恩得利,-11.4,-13.6,-9.1
1336,台翰,1.8,-0.0,3.4
1337,再生-KY,-10.5,-12.1,-7.3
1338,廣華-KY,0.9,0.4,2.0
1339,昭輝,6.3,5.6,7.1
1340,勝悅-KY,-18.7,-19.3,-15.1
1341,富林-KY,1.2,0.5,2.3
1342,八貫,-5.1,-5.4,-4.5
1343,,,,
1402,遠東新,6.1,5.6,6.6
1408,中紡,-11.8,-13.1,-7.3
1409,新纖,7.4,6.7,8.2
1410,南染,13.5,12.9,13.9
1413,宏洲,7.4,6.5,8.4
1414,東和,10.6,9.6,11.4
1416,廣豐,8.7,8.0,9.4
1417,嘉裕,5.1,4.2,5.9
1418,東華,4.2,3.1,5.5
1419,新紡,8.2,7.5,8.7
1423,利華,8.2,7.6,8.8
1432,大魯閣,14.3,13.3,15.3
1434,福懋,7.6,7.2,8.0
1435,中福,7.7,5.4,9.5
1436,華友聯,15.1,14.4,15.4
1437,勤益控,5.2,4.2,6.2
1438,三地開發,15.3,14.1,16.2
1439,中和,10.0,9.2,10.5
1440,南紡,6.2,5.5,6.9
1441,大東,10.0,9.3,10.6
1442,名軒,9.1,8.5,9.7
1443,立益,9.1,8.2,10.1
1444,力麗,10.7,10.0,11.4
1445,大宇,8.8,8.2,9.3
1446,宏和,15.4,14.9,15.7
1447,力鵬,4.6,3.7,5.5
1449,佳和,18.7,17.1,20.2
1451,年興,3.5,2.8,4.3
1452,宏益,10.5,9.9,11.1
1453,大將,7.3,6.6,8.4
1454,台富,5.4,4.8,5.9
1455,集盛,4.5,3.7,5.5
1456,怡華,14.2,13.1,15.3
1457,宜進,10.6,9.8,11.3
1459,聯發,3.8,3.2,4.5
1460,宏遠,4.1,3.4,4.9
1463,強盛,8.6,7.6,9.7
1464,得力,11.5,10.8,12.0
1465,偉全,8.6,8.1,8.9
1466,聚隆,11.7,10.9,12.3
1467,南緯,6.6,5.7,7.5
1468,昶和,1.4,0.6,2.0
1470,大統新創,10.0,9.4,10.3
1471,首利,-5.6,-7.9,-2.6
1472,三洋紡,4.5,3.4,5.6
1473,台南,-0.1,-0.8,0.7
1474,弘裕,6.2,5.4,7.0
1475,業旺,6.9,4.1,9.4
1476,儒鴻,29.5,28.9,30.0
1477,聚陽,14.9,14.2,15.5
1480,,,,
1489,,,,
1503,士電,6.5,6.1,6.9
1504,東元,9.2,8.6,9.6
1506,正道,0.1,-0.5,0.6
1507,永大,10.3,9.6,10.8
1512,瑞利,-2.8,-3.7,-1.3
1513,中興電,10.8,10.1,11.5
1514,亞力,13.0,12.2,13.6
1515,力山,16.5,15.0,17.8
1516,川飛,14.8,13.7,16.0
1517,利奇,7.1,6.4,7.7
1519,華城,14.2,13.5,14.6
1521,大億,9.1,8.2,9.9
1522,堤維西,4.2,3.3,5.2
1524,耿鼎,0.1,-0.7,1.2
1525,江申,10.3,9.6,10.9
1526,日馳,17.6,16.8,18.0
1527,鑽全,3.0,1.9,4.5
1528,恩德,2.8,2.2,3.6
1529,樂士,9.7,7.7,11.5
1530,亞崴,3.7,3.0,4.3
1531,高林股,-0.1,-0.8,0.9
1532,勤美,7.7,7.0,8.5
1533,車王電,5.4,4.3,6.4
1535,中宇,9.8,9.3,9.9
1536,和大,11.8,10.8,12.9
1537,廣隆,19.7,19.0,20.1
1538,正峰,-2.9,-4.5,-0.3
1539,巨庭,8.2,7.2,9.1
1540,喬福,6.7,6.2,7.1
1541,錩泰,13.7,12.5,14.4
1550,,,,
1557,,,,
1558,伸興,17.0,16.4,17.4
1560,中砂,3.9,2.7,5.3
1563,,,,
1565,精華,11.1,10.6,11.3
1566,捷邦,-0.3,-1.7,1.5
1568,倉佑,-1.0,-2.0,0.9
1569,濱川,2.4,1.2,4.0
1570,力肯,-0.3,-1.7,1.3
1580,新麥,13.0,12.5,13.4
1582,信錦,4.4,3.3,5.9
1583,程泰,6.1,5.2,6.9
1584,精剛,-3.9,-5.3,-2.1
1585,,,,
1586,和勤,11.8,10.9,12.7
1587,吉茂,5.6,3.9,8.5
1589,永冠-KY,7.3,6.0,8.4
1590,亞德客-KY,19.9,18.8,20.7
1591,駿吉-KY,-2.6,-3.4,-1.3
1592,英瑞-KY,-13.7,-14.3,-11.6
1593,祺驊,16.5,15.7,17.0
1594,,,,
1595,川寶,-0.3,-1.0,0.5
1597,直得,13.6,12.3,14.7
1598,岱宇,24.1,22.5,25.8
1599,宏佳騰,5.3,4.7,6.3
1602,,,,
1603,華電,12.0,11.3,12.5
